source,target,shared_seasons,weighted_core,source_name,target_name,source_community,target_community
bandosa01,jacksre01,8,5.515145315036469,Sal Bando,Reggie Jackson,3,3
bandosa01,campabe01,9,5.475946394987399,Sal Bando,Bert Campaneris,3,3
campabe01,jacksre01,8,4.666956799276705,Bert Campaneris,Reggie Jackson,3,3
chaveer01,zitoba01,7,3.913035285175018,Eric Chavez,Barry Zito,2,2
mcgwima01,steinte01,11,3.8612033621224358,Mark McGwire,Terry Steinbach,1,1
henderi01,mcgwima01,7,3.6580344492441537,Rickey Henderson,Mark McGwire,1,1
bandosa01,rudijo01,9,3.3264479123443516,Sal Bando,Joe Rudi,3,3
campabe01,rudijo01,9,3.295351349332895,Bert Campaneris,Joe Rudi,3,3
henderi01,murphdw01,6,3.2828037930166145,Rickey Henderson,Dwayne Murphy,1,1
hunteca01,jacksre01,7,3.267742236841796,Catfish Hunter,Reggie Jackson,3,3
chaveer01,hudsoti01,6,3.2119807047033757,Eric Chavez,Tim Hudson,2,2
bandosa01,hunteca01,7,3.137825692248742,Sal Bando,Catfish Hunter,3,3
hudsoti01,zitoba01,5,3.1070833160701854,Tim Hudson,Barry Zito,2,2
chapmma01,olsonma02,5,3.093876436407373,Matt Chapman,Matt Olson,4,4
campabe01,hunteca01,7,3.0766130586641878,Bert Campaneris,Catfish Hunter,3,3
bandosa01,tenacge01,8,3.050452452593107,Sal Bando,Gene Tenace,3,3
henderi01,steinte01,7,3.041380679392112,Rickey Henderson,Terry Steinbach,1,1
hudsoti01,tejadmi01,5,3.0286483779858058,Tim Hudson,Miguel Tejada,2,2
jacksre01,rudijo01,8,3.010499271718211,Reggie Jackson,Joe Rudi,3,3
campabe01,tenacge01,8,2.9752475242069347,Bert Campaneris,Gene Tenace,3,3
bandosa01,bluevi01,8,2.8729019302802805,Sal Bando,Vida Blue,3,3
chaveer01,ellisma01,8,2.8274111374988617,Eric Chavez,Mark Ellis,2,2
cansejo01,hendeda01,5,2.738322503563541,Jose Canseco,Dave Henderson,1,1
jacksre01,tenacge01,7,2.736598986572278,Reggie Jackson,Gene Tenace,3,3
eckerde01,mcgwima01,9,2.5677381178460448,Dennis Eckersley,Mark McGwire,1,1
mcgwima01,stewada01,8,2.5618397440602627,Mark McGwire,Dave Stewart,1,1
chaveer01,muldema01,5,2.546547944374446,Eric Chavez,Mark Mulder,2,2
lansfca01,stewada01,7,2.5418972789695315,Carney Lansford,Dave Stewart,1,1
lansfca01,mcgwima01,7,2.5304550283469127,Carney Lansford,Mark McGwire,1,1
hudsoti01,muldema01,5,2.519282640601582,Tim Hudson,Mark Mulder,2,2
hunteca01,rudijo01,7,2.440398338399124,Catfish Hunter,Joe Rudi,3,3
rudijo01,tenacge01,8,2.4157050015912085,Joe Rudi,Gene Tenace,3,3
muldema01,zitoba01,5,2.397147749357001,Mark Mulder,Barry Zito,2,2
lansfca01,phillto02,7,2.3937561064518005,Carney Lansford,Tony Phillips,1,1
henderi01,lansfca01,6,2.388319171682557,Rickey Henderson,Carney Lansford,1,1
chaveer01,tejadmi01,6,2.366297785190218,Eric Chavez,Miguel Tejada,2,2
cansejo01,stewada01,7,2.3605679289334076,Jose Canseco,Dave Stewart,1,1
