playerID,yearID,bat_G,bat_AB,bat_R,bat_H,bat_2B,bat_3B,bat_HR,bat_RBI,bat_SB,bat_CS,bat_BB,bat_SO,bat_IBB,bat_HBP,bat_SH,bat_SF,bat_GIDP,pit_W,pit_L,pit_G,pit_GS,pit_CG,pit_SHO,pit_SV,pit_IPouts,pit_H,pit_ER,pit_HR,pit_BB,pit_SO,pit_BAOpp,pit_ERA,pit_IBB,pit_WP,pit_HBP,pit_BK,pit_BFP,pit_GF,pit_R,pit_SH,pit_SF,pit_GIDP,app_G_all,app_GS,app_G_batting,app_G_defense,app_G_p,app_G_c,app_G_1b,app_G_2b,app_G_3b,app_G_ss,app_G_lf,app_G_cf,app_G_rf,app_G_of,app_G_dh,app_G_ph,app_G_pr,fld_G,fld_GS,fld_InnOuts,fld_PO,fld_A,fld_E,fld_DP,primary_pos,bat_PA_est,bat_TB_est,pit_IP,bat_pa_norm,bat_g_norm,bat_tb_norm,pit_ip_norm,pit_g_norm,pit_gs_norm,pit_sv_norm,app_g_norm,app_gs_norm,fld_g_norm,hitter_component,pitcher_component,fielding_component,raw_core_score,core_score,primary_role,player_name,core_rank,is_top_10_core,bwar,batting_bwar,pitching_bwar,bwar_positive,war_score,metric_score,metric_source,war_rank,metric_rank,is_top_10_war,is_top_10_metric
campabe01,1968,159,642,87,177,25,9,4,38.0,62.0,22.0,50,69.0,2.0,4.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,157.0,159.0,158.0,0.0,0.0,0.0,0.0,0.0,155.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,158.0,157.0,4175.0,283.0,458.0,34.0,86.0,SS,707.0,232,0.0,1.0,0.9814814814814815,0.928,0.0,0.0,0.0,0.0,0.9814814814814815,0.9874213836477987,0.9693251533742331,0.9890962962962963,0.0,0.9819290212773256,0.9890962962962963,1.0,Hitter,Bert Campaneris,1,True,6.61,6.61,0.0,6.61,1.0,1.0,Baseball-Reference bWAR,1,1,True,True
jacksre01,1968,154,553,82,138,13,6,29,74.0,14.0,4.0,50,171.0,5.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,145.0,154.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,148.0,151.0,0.0,4.0,2.0,151.0,145.0,3884.0,269.0,14.0,12.0,5.0,OF,614.0,250,0.0,0.8684582743988685,0.9506172839506173,1.0,0.0,0.0,0.0,0.0,0.9506172839506173,0.9119496855345912,0.9263803680981595,0.8980442488693313,0.0,0.9373666648088843,0.8980442488693313,0.907944203443171,Hitter,Reggie Jackson,3,True,5.26,5.26,0.0,5.26,0.7957639939485627,0.7957639939485627,Baseball-Reference bWAR,2,2,True,True
nashji01,1968,34,74,4,5,1,0,2,6.0,0.0,0.0,1,50.0,0.0,0.0,6.0,0.0,0.0,13.0,13.0,34.0,33.0,12.0,6.0,0.0,686.0,185.0,58.0,18.0,55.0,169.0,0.21,2.28,12.0,5.0,3.0,0.0,910.0,0.0,63.0,0.0,0.0,0.0,34,33.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,686.0,9.0,20.0,1.0,2.0,P,81.0,12,228.66666666666666,0.11456859971711457,0.20987654320987653,0.048,0.9772079772079771,0.6296296296296297,0.9705882352941176,0.0,0.20987654320987653,0.20754716981132076,0.2085889570552147,0.1269733284439555,0.8157977207977208,0.2090955600428147,0.8157977207977208,0.8247909974514134,Pitcher,Jim Nash,7,True,3.96,-0.38,4.34,3.96,0.5990922844175491,0.5990922844175491,Baseball-Reference bWAR,3,3,True,True
odombl01,1968,42,78,14,17,2,0,1,2.0,0.0,0.0,6,29.0,0.0,1.0,4.0,0.0,0.0,16.0,10.0,32.0,31.0,9.0,4.0,0.0,694.0,179.0,63.0,9.0,98.0,143.0,0.21,2.45,9.0,17.0,7.0,0.0,950.0,0.0,74.0,0.0,0.0,0.0,42,31.0,42.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,31.0,694.0,10.0,43.0,2.0,1.0,P,89.0,22,231.33333333333334,0.12588401697312587,0.25925925925925924,0.088,0.9886039886039887,0.5925925925925926,0.9117647058823529,0.0,0.25925925925925924,0.1949685534591195,0.19631901840490798,0.14877066373303996,0.8053988603988605,0.234963837549785,0.8053988603988605,0.8142775010023828,Pitcher,Blue Moon Odom,8,True,3.7399999999999998,0.73,3.01,3.7399999999999998,0.5658093797276853,0.5658093797276853,Baseball-Reference bWAR,4,4,True,True
mondari01,1968,148,482,56,132,24,7,8,49.0,14.0,6.0,72,143.0,7.0,4.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,134.0,148.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,0.0,7.0,0.0,144.0,134.0,3551.0,299.0,11.0,7.0,3.0,OF,563.0,194,0.0,0.7963224893917963,0.9135802469135802,0.776,0.0,0.0,0.0,0.0,0.9135802469135802,0.8427672955974843,0.8834355828220859,0.8177417919569734,0.0,0.8907381541359239,0.8177417919569734,0.8267564998666304,Hitter,Rick Monday,5,True,3.55,3.55,0.0,3.55,0.5370650529500756,0.5370650529500756,Baseball-Reference bWAR,5,5,True,True
bandosa01,1968,162,605,67,152,25,5,9,67.0,13.0,4.0,51,78.0,6.0,7.0,6.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,159.0,162.0,162.0,0.0,0.0,0.0,0.0,162.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,163.0,159.0,4253.0,188.0,272.0,17.0,27.0,3B,674.0,214,0.0,0.9533239038189534,1.0,0.856,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9529267326732674,0.0,1.0,0.9529267326732674,0.9634317065401348,Hitter,Sal Bando,2,True,3.3,3.3,0.0,3.3,0.4992435703479576,0.4992435703479576,Baseball-Reference bWAR,6,6,True,True
caterda01,1968,147,504,53,146,28,3,6,62.0,8.0,7.0,35,43.0,3.0,2.0,5.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,128.0,147.0,138.0,0.0,0.0,121.0,1.0,0.0,0.0,19.0,0.0,2.0,20.0,0.0,16.0,0.0,142.0,128.0,3392.0,1007.0,69.0,5.0,89.0,1B,550.0,198,0.0,0.7779349363507779,0.9074074074074074,0.792,0.0,0.0,0.0,0.0,0.9074074074074074,0.8050314465408805,0.8711656441717791,0.805235936927026,0.0,0.8751179620412171,0.805235936927026,0.8141127814776565,Hitter,Danny Cater,9,True,2.04,2.04,0.0,2.04,0.3086232980332829,0.3086232980332829,Baseball-Reference bWAR,7,7,True,True
donaljo01,1968,127,363,37,80,9,2,2,27.0,5.0,5.0,45,44.0,0.0,2.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,91.0,127.0,104.0,0.0,0.0,0.0,98.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,104.0,91.0,2500.0,178.0,271.0,13.0,49.0,2B,419.0,99,0.0,0.5926449787835927,0.7839506172839507,0.396,0.0,0.0,0.0,0.0,0.7839506172839507,0.5723270440251572,0.6380368098159509,0.611241608605305,0.0,0.7101046360246885,0.6390941724222197,0.6461394859280425,Hitter,John Donaldson,11,False,1.77,1.77,0.0,1.77,0.26777609682299547,0.26777609682299547,Baseball-Reference bWAR,8,8,True,True
krausle02,1968,36,56,4,9,5,0,0,2.0,0.0,0.0,5,25.0,0.0,0.0,2.0,0.0,0.0,10.0,11.0,36.0,25.0,2.0,0.0,4.0,555.0,147.0,64.0,16.0,62.0,105.0,0.21,3.11,9.0,3.0,3.0,0.0,758.0,7.0,68.0,0.0,0.0,0.0,36,25.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,555.0,11.0,20.0,0.0,2.0,P,63.0,14,185.0,0.0891089108910891,0.2222222222222222,0.056,0.7905982905982906,0.6666666666666666,0.7352941176470589,0.36363636363636365,0.2222222222222222,0.15723270440251572,0.22085889570552147,0.11242068206820682,0.7161926961926962,0.20388882458103433,0.7161926961926962,0.7240879365078036,Pitcher,Lew Krausse,10,True,1.61,0.29,1.32,1.61,0.24357034795763993,0.24357034795763993,Baseball-Reference bWAR,9,9,True,True
hunteca01,1968,39,82,9,19,3,0,1,8.0,0.0,0.0,0,19.0,0.0,0.0,8.0,0.0,0.0,13.0,13.0,36.0,34.0,11.0,2.0,1.0,702.0,210.0,87.0,29.0,69.0,172.0,0.23,3.35,10.0,0.0,4.0,1.0,968.0,2.0,99.0,0.0,0.0,0.0,39,34.0,39.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,34.0,702.0,16.0,20.0,4.0,0.0,P,90.0,25,234.0,0.1272984441301273,0.24074074074074073,0.1,1.0,0.6666666666666666,1.0,0.09090909090909091,0.24074074074074073,0.2138364779874214,0.22085889570552147,0.14725705903923725,0.8490909090909091,0.23121936266628942,0.8490909090909091,0.8584512066927741,Pitcher,Catfish Hunter,4,True,1.4700000000000002,1.12,0.35,1.4700000000000002,0.22239031770045387,0.22239031770045387,Baseball-Reference bWAR,10,10,True,True
