year,next_year,similarity,turnover
1968,1969,0.39901044940970626,0.6009895505902938
1969,1970,0.27175044353515004,0.7282495564648499
1970,1971,0.3404007144262816,0.6595992855737184
1971,1972,0.331538928517743,0.668461071482257
1972,1973,0.3325149859676364,0.6674850140323636
1973,1974,0.5300644730665566,0.4699355269334434
1974,1975,0.45503945362661624,0.5449605463733838
1975,1976,0.37005448072396696,0.629945519276033
1976,1977,0.06709043135049289,0.9329095686495071
1977,1978,0.16267840850062848,0.8373215914993715
1978,1979,0.2321557573770585,0.7678442426229415
1979,1980,0.22991998135175654,0.7700800186482435
1980,1981,0.47178894805856186,0.5282110519414381
1981,1982,0.43517941505283275,0.5648205849471672
1982,1983,0.3528411137385094,0.6471588862614905
1983,1984,0.30441812459284023,0.6955818754071598
1984,1985,0.1515561085229803,0.8484438914770197
1985,1986,0.25143260292787634,0.7485673970721236
1986,1987,0.2679400370301373,0.7320599629698628
1987,1988,0.28769020994045896,0.712309790059541
1988,1989,0.40791880337084957,0.5920811966291504
1989,1990,0.3779795770046764,0.6220204229953237
1990,1991,0.2901257477636982,0.7098742522363017
1991,1992,0.2515716354793864,0.7484283645206136
1992,1993,0.277314271862219,0.722685728137781
1993,1994,0.33022556473647463,0.6697744352635253
1994,1995,0.34165178086933057,0.6583482191306694
1995,1996,0.2819353935570138,0.7180646064429862
1996,1997,0.19121392206767351,0.8087860779323265
1997,1998,0.14673793979757263,0.8532620602024273
1998,1999,0.1615661221835431,0.8384338778164568
1999,2000,0.4055368358267419,0.5944631641732581
2000,2001,0.4015506133508998,0.5984493866491002
2001,2002,0.36279579310637505,0.637204206893625
2002,2003,0.4745893201696944,0.5254106798303055
2003,2004,0.30620740973056454,0.6937925902694355
2004,2005,0.2867422000633679,0.7132577999366321
2005,2006,0.4069538931703428,0.5930461068296572
2006,2007,0.31425419228696966,0.6857458077130303
2007,2008,0.18771921890566454,0.8122807810943354
2008,2009,0.19880044107055214,0.8011995589294478
2009,2010,0.245284528595977,0.754715471404023
2010,2011,0.2656141802000227,0.7343858197999773
2011,2012,0.1082417323580977,0.8917582676419022
2012,2013,0.3209723020714882,0.6790276979285118
2013,2014,0.350207280162592,0.649792719837408
2014,2015,0.1583671746254466,0.8416328253745534
2015,2016,0.14794083786110346,0.8520591621388965
2016,2017,0.18030776374912746,0.8196922362508725
2017,2018,0.3200029282768579,0.679997071723142
2018,2019,0.36301842389120104,0.6369815761087989
2019,2020,0.3521187605732768,0.6478812394267233
2020,2021,0.28819075397948296,0.711809246020517
2021,2022,0.2097960575295642,0.7902039424704358
2022,2023,0.11551653736218864,0.8844834626378113
2023,2024,0.17548276347850586,0.8245172365214941
