playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank,community_id,layout_x,layout_y,community_label
henderi01,Rickey Henderson,1979,1998,14,11.908908183671343,1.0,0.8506362988336674,72.69,73.59,9.94,11.489872780115027,1.0,7481.0,0.0,1990,Hitter,OF,C03,9.94,1.0,1,1,0.41005957381011243,0.1315711726886386,Rickey Henderson / Mark McGwire / Dwayne Murphy
bandosa01,Sal Bando,1968,1976,9,8.715560118158692,1.0,0.9683955686842991,50.57,50.57,8.27,6.91401222496541,1.0,5908.0,0.0,1970,Hitter,3B,C01,6.15,1.0,2,3,0.035394040077234824,0.5079066496040687,Sal Bando / Reggie Jackson / Bert Campaneris
jacksre01,Reggie Jackson,1968,1987,9,7.989137173701402,1.0,0.8876819081890447,48.68,49.04,9.26,6.668614621472176,1.0,5295.0,0.0,1969,Hitter,OF,C01,9.26,1.0,3,3,0.029848228307887834,0.47765804614526175,Sal Bando / Reggie Jackson / Bert Campaneris
mcgwima01,Mark McGwire,1986,1997,12,8.629252656715396,1.0,0.7191043880596163,42.89,43.09,6.45,7.624608726458704,1.0,5409.0,0.0,1992,Hitter,1B,C03,6.45,1.0,4,1,0.40868938949469097,0.07832923821774992,Rickey Henderson / Mark McGwire / Dwayne Murphy
campabe01,Bert Campaneris,1968,1976,9,8.262027697320049,1.0,0.9180030774800054,42.45,42.45,6.61,6.051046847963057,1.0,5716.0,0.0,1968,Hitter,SS,C01,6.61,1.0,5,3,0.02,0.4746157173735825,Sal Bando / Reggie Jackson / Bert Campaneris
chaveer01,Eric Chavez,1998,2010,13,8.008903957789359,1.0,0.6160695352145661,34.98,35.72,6.05,5.784575392771144,1.0,5405.0,0.0,2004,Hitter,3B,C04,5.53,1.0,6,2,0.6262496375914945,0.3001752196433198,Eric Chavez / Tim Hudson / Barry Zito
murphdw01,Dwayne Murphy,1978,1987,10,7.906719859010554,1.0,0.7906719859010554,31.72,32.13,6.9,5.2471228845002305,0.8774289985052317,4886.0,0.0,1982,Hitter,OF,C02,5.87,0.8774289985052317,7,1,0.2476281359116845,0.12258724675865082,Rickey Henderson / Mark McGwire / Dwayne Murphy
hudsoti01,Tim Hudson,1999,2004,6,4.445060870769119,0.8441196549137285,0.7408434784615198,30.96,30.96,7.45,4.400017834662861,1.0,28.0,1240.6666666666667,2003,Pitcher,P,C04,7.45,1.0,8,2,0.6024612072855143,0.3086582679583594,Eric Chavez / Tim Hudson / Barry Zito
zitoba01,Barry Zito,2000,2015,8,5.160646908398062,0.8140298507462689,0.6450808635497578,30.25,30.6,7.11,4.8021406478188124,1.0,32.0,1437.3333333333335,2002,Pitcher,P,C04,7.11,1.0,9,2,0.5897881453842196,0.2796624177059071,Eric Chavez / Tim Hudson / Barry Zito
bluevi01,Vida Blue,1969,1977,9,5.602193393651771,0.870611953586873,0.6224659326279746,28.41,29.95,8.52,4.086087139675996,1.0,204.0,1945.6666666666665,1971,Pitcher,P,C01,8.52,1.0,10,3,0.06357745152008527,0.5233586510668645,Sal Bando / Reggie Jackson / Bert Campaneris
