yearID,top10_players,top_hitters,top_pitchers,returning_core_players,departing_core_players,returning_core_count,departing_core_count,era_id,teamID,lgID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,RA,attendance,name,park
1968,Bert Campaneris | Reggie Jackson | Jim Nash | Blue Moon Odom | Rick Monday | Sal Bando | Danny Cater | John Donaldson | Lew Krausse | Catfish Hunter,Bert Campaneris | Reggie Jackson | Rick Monday | Sal Bando | Danny Cater | John Donaldson | Dick Green | Jim Pagliaroni,Jim Nash | Blue Moon Odom | Lew Krausse | Diego Segui | Chuck Dobson | Paul Lindblad | Catfish Hunter | George Lauzerique,,,0,0,C01,OAK,AL,,6,163,82,80,,,N,N,569.0,544.0,837466.0,Oakland Athletics,Oakland Coliseum
1969,Reggie Jackson | Sal Bando | Dick Green | Blue Moon Odom | Rick Monday | Bert Campaneris | Catfish Hunter | Tommie Reynolds | Jim Roland | Jose Tartabull,Reggie Jackson | Sal Bando | Dick Green | Rick Monday | Bert Campaneris | Tommie Reynolds | Blue Moon Odom | Jose Tartabull,Blue Moon Odom | Catfish Hunter | Jim Roland | Jim Nash | Juan Pizarro | Chuck Dobson | Paul Lindblad | Rollie Fingers,Reggie Jackson | Sal Bando | Blue Moon Odom | Rick Monday | Bert Campaneris | Catfish Hunter,Jim Nash | Danny Cater | John Donaldson | Lew Krausse,6,4,C01,OAK,AL,W,2,162,88,74,N,,N,N,740.0,678.0,778232.0,Oakland Athletics,Oakland Coliseum
1970,Sal Bando | Bert Campaneris | Mudcat Grant | Rick Monday | Diego Segui | Reggie Jackson | Joe Rudi | Felipe Alou | Don Mincher | Frank Fernandez,Sal Bando | Bert Campaneris | Rick Monday | Reggie Jackson | Joe Rudi | Felipe Alou | Don Mincher | Frank Fernandez,Mudcat Grant | Diego Segui | Chuck Dobson | Catfish Hunter | Paul Lindblad | Rollie Fingers | Marcel Lachemann | Vida Blue,Sal Bando | Bert Campaneris | Rick Monday | Reggie Jackson,Dick Green | Blue Moon Odom | Catfish Hunter | Tommie Reynolds | Jim Roland | Jose Tartabull,4,6,C01,OAK,AL,W,2,162,89,73,N,,N,N,678.0,593.0,778355.0,Oakland Athletics,Oakland Coliseum
1971,Vida Blue | Reggie Jackson | Sal Bando | Catfish Hunter | Bert Campaneris | Joe Rudi | Rick Monday | Gene Tenace | Dave Duncan | Dick Green,Reggie Jackson | Sal Bando | Bert Campaneris | Joe Rudi | Rick Monday | Gene Tenace | Dave Duncan | Dick Green,Vida Blue | Catfish Hunter | Rollie Fingers | Diego Segui | Mudcat Grant | Bob Locker | Jim Roland | Rob Gardner,Reggie Jackson | Sal Bando | Bert Campaneris | Joe Rudi | Rick Monday,Mudcat Grant | Diego Segui | Felipe Alou | Don Mincher | Frank Fernandez,5,5,C01,OAK,AL,W,1,161,101,60,Y,,N,N,691.0,564.0,914993.0,Oakland Athletics,Oakland Coliseum
1972,Joe Rudi | Catfish Hunter | Reggie Jackson | Sal Bando | Bert Campaneris | Mike Epstein | Ken Holtzman | Dave Duncan | Darold Knowles | Blue Moon Odom,Joe Rudi | Reggie Jackson | Sal Bando | Bert Campaneris | Mike Epstein | Dave Duncan | Angel Mangual | Mike Hegan,Catfish Hunter | Ken Holtzman | Darold Knowles | Blue Moon Odom | Rollie Fingers | Dave Hamilton | Bob Locker | Vida Blue,Joe Rudi | Catfish Hunter | Reggie Jackson | Sal Bando | Bert Campaneris | Dave Duncan,Vida Blue | Rick Monday | Gene Tenace | Dick Green,6,4,C01,OAK,AL,W,1,155,93,62,Y,,Y,Y,604.0,457.0,921323.0,Oakland Athletics,Oakland Coliseum
1973,Reggie Jackson | Bill North | Sal Bando | Gene Tenace | Bert Campaneris | Ken Holtzman | Ray Fosse | Joe Rudi | Vida Blue | Catfish Hunter,Reggie Jackson | Bill North | Sal Bando | Gene Tenace | Bert Campaneris | Ray Fosse | Joe Rudi | Dick Green,Ken Holtzman | Vida Blue | Catfish Hunter | Rollie Fingers | Horacio Pina | Glenn Abbott | Blue Moon Odom | Darold Knowles,Reggie Jackson | Sal Bando | Bert Campaneris | Ken Holtzman | Joe Rudi | Catfish Hunter,Mike Epstein | Dave Duncan | Darold Knowles | Blue Moon Odom,6,4,C01,OAK,AL,W,1,162,94,68,Y,,Y,Y,758.0,615.0,1000763.0,Oakland Athletics,Oakland Coliseum
1974,Catfish Hunter | Reggie Jackson | Bert Campaneris | Gene Tenace | Sal Bando | Joe Rudi | Bill North | Vida Blue | Paul Lindblad | Ken Holtzman,Reggie Jackson | Bert Campaneris | Gene Tenace | Sal Bando | Joe Rudi | Bill North | Claudell Washington | Dick Green,Catfish Hunter | Vida Blue | Paul Lindblad | Ken Holtzman | Rollie Fingers | Dave Hamilton | Glenn Abbott | Bill Parsons,Catfish Hunter | Reggie Jackson | Bert Campaneris | Gene Tenace | Sal Bando | Joe Rudi | Bill North | Vida Blue | Ken Holtzman,Ray Fosse,9,1,C01,OAK,AL,W,1,162,90,72,Y,,Y,Y,689.0,551.0,845693.0,Oakland Athletics,Oakland Coliseum
1975,Reggie Jackson | Bill North | Gene Tenace | Claudell Washington | Vida Blue | Sal Bando | Bert Campaneris | Joe Rudi | Ken Holtzman | Rollie Fingers,Reggie Jackson | Bill North | Gene Tenace | Claudell Washington | Sal Bando | Bert Campaneris | Joe Rudi | Phil Garner,Vida Blue | Ken Holtzman | Rollie Fingers | Jim Todd | Paul Lindblad | Dick Bosman | Stan Bahnsen | Mike Norris,Reggie Jackson | Bill North | Gene Tenace | Vida Blue | Sal Bando | Bert Campaneris | Joe Rudi | Ken Holtzman,Catfish Hunter | Paul Lindblad,8,2,C01,OAK,AL,W,1,162,98,64,Y,,N,N,758.0,606.0,1075518.0,Oakland Athletics,Oakland Coliseum
1976,Vida Blue | Sal Bando | Mike Torrez | Bert Campaneris | Gene Tenace | Rollie Fingers | Don Baylor | Phil Garner | Bill North | Joe Rudi,Sal Bando | Bert Campaneris | Gene Tenace | Don Baylor | Phil Garner | Bill North | Joe Rudi | Ron Fairly,Vida Blue | Mike Torrez | Rollie Fingers | Stan Bahnsen | Paul Lindblad | Dick Bosman | Paul Mitchell | Craig Mitchell,Vida Blue | Sal Bando | Bert Campaneris | Gene Tenace | Rollie Fingers | Bill North | Joe Rudi,Reggie Jackson | Claudell Washington | Ken Holtzman,7,3,C01,OAK,AL,W,2,161,87,74,N,,N,N,686.0,598.0,780593.0,Oakland Athletics,Oakland Coliseum
1977,Mitchell Page | Vida Blue | Pablo Torrealba | Bob Lacey | Joe Coleman | Wayne Gross | Rick Langford | Dave Giusti | Doug Bair | Mike Jorgensen,Mitchell Page | Wayne Gross | Mike Jorgensen | Rodney Scott | Manny Sanguillen | Tony Armas | Jeff Newman | Larry Lintz,Vida Blue | Pablo Torrealba | Bob Lacey | Joe Coleman | Rick Langford | Dave Giusti | Doug Bair | Mike Norris,Vida Blue,Sal Bando | Mike Torrez | Bert Campaneris | Gene Tenace | Rollie Fingers | Don Baylor | Phil Garner | Bill North | Joe Rudi,1,9,C01,OAK,AL,W,7,161,63,98,N,,N,N,605.0,749.0,495599.0,Oakland Athletics,Oakland Coliseum
1978,Matt Keough | Elias Sosa | John Henry Johnson | Rick Langford | Jim Essian | Mitchell Page | Dave Heaverlo | Bob Lacey | Rico Carty | Dave Revering,Jim Essian | Mitchell Page | Rico Carty | Dave Revering | Jeff Newman | Steve Staggs | Willie Horton | Bill North,Matt Keough | Elias Sosa | John Henry Johnson | Rick Langford | Dave Heaverlo | Bob Lacey | Steve Renko | Alan Wirth,Rick Langford | Mitchell Page | Bob Lacey,Vida Blue | Pablo Torrealba | Joe Coleman | Wayne Gross | Dave Giusti | Doug Bair | Mike Jorgensen,3,7,C02,OAK,AL,W,6,162,69,93,N,,N,N,532.0,690.0,526999.0,Oakland Athletics,Oakland Coliseum
